year_t,month_t,day_t,rain_t
2022,11,20,11
2022,11,21,11.5
2022,11,22,0
2022,11,23,29
2022,11,24,4
2022,11,25,0
2022,11,26,0
2022,11,27,0
2022,11,28,0.5
2022,11,29,13
2022,11,30,0
2022,12,1,0
2022,12,2,0
2022,12,3,0
2022,12,4,0
2022,12,5,3.5
2022,12,6,2.5
2022,12,7,0
2022,12,8,0
2022,12,9,0
2022,12,10,0
2022,12,11,0
2022,12,12,0
2022,12,13,3
2022,12,14,0
2022,12,15,0
2022,12,16,0
2022,12,17,0
2022,12,18,0
2022,12,19,0
2022,12,20,0
2022,12,21,0
2022,12,22,14.5
2022,12,23,0
2022,12,24,0.5
2022,12,25,0
2022,12,26,0
2022,12,27,0
2022,12,28,0
2022,12,29,0
2022,12,30,0
2022,12,31,0
2023,1,1,0
2023,1,2,0
2023,1,3,0
2023,1,4,0
2023,1,5,0
2023,1,6,0
2023,1,7,0
2023,1,8,0
2023,1,9,0
2023,1,10,0
2023,1,11,0
2023,1,12,0
2023,1,13,0
2023,1,14,0
2023,1,15,3.5
2023,1,16,3.5
2023,1,17,0
2023,1,18,0
2023,1,19,0
2023,1,20,0
2023,1,21,0
2023,1,22,0
2023,1,23,0
2023,1,24,0
2023,1,25,6.5
2023,1,26,0
2023,1,27,0
2023,1,28,0
2023,1,29,0
2023,1,30,0
2023,1,31,0
2023,2,1,0
2023,2,2,0
2023,2,3,0
2023,2,4,0
2023,2,5,0
2023,2,6,0
2023,2,7,0
2023,2,8,0
2023,2,9,0
2023,2,10,22.5
2023,2,11,0
2023,2,12,0
2023,2,13,1
2023,2,14,0
2023,2,15,0
2023,2,16,0
2023,2,17,0
2023,2,18,0
2023,2,19,0
2023,2,20,0
2023,2,21,0
2023,2,22,0
2023,2,23,0
2023,2,24,0
2023,2,25,0
2023,2,26,0
2023,2,27,0
2023,2,28,0
2023,3,1,0
2023,3,2,0
2023,3,3,0
2023,3,4,0
2023,3,5,0
2023,3,6,0
2023,3,7,0
2023,3,8,0
2023,3,9,0
2023,3,10,0
2023,3,11,0
2023,3,12,0
2023,3,13,12.5
2023,3,14,0
2023,3,15,0
2023,3,16,0
2023,3,17,1.5
2023,3,18,23
2023,3,19,0
2023,3,20,0
2023,3,21,0
2023,3,22,0
2023,3,23,17
2023,3,24,0.5
2023,3,25,2.5
2023,3,26,22
2023,3,27,0
2023,3,28,0
2023,3,29,0
2023,3,30,0
2023,3,31,0
2023,4,1,0
2023,4,2,0
2023,4,3,0
2023,4,4,0
2023,4,5,0
2023,4,6,0
